,complex,putative_genes,coeffs,monomer_id,gene,obj_ids
418,DNA-binding transcriptional repressor NsrR,nsrR,2,EG11212-MONOMER,nsrR,EG11212-MONOMER
419,DNA-binding transcriptional repressor PaaX,paaX,2,G6720-MONOMER,paaX,G6720-MONOMER
420,DNA-binding transcriptional repressor PurR,purR,2,PD00219,purR,PD00219
421,DNA-binding transcriptional repressor TreR,treR,2,EG12202-MONOMER,treR,EG12202-MONOMER
422,DNA-binding transcriptional repressor TrpR,trpR,2,PD00423,trpR,PD00423
423,DNA-binding transcriptional repressor Zur,zur,2,EG11929-MONOMER,zur,EG11929-MONOMER
424,DNA-binding transcriptional repressor/NMN adenylyltransferase NadR,nadR,4,PD04413,nadR,PD04413
425,DnaA initiator-associating factor for replication initiation,diaA,4,YRAO-MONOMER,diaA,YRAO-MONOMER
426,DosC-DosP complex,"dosC"" // ""dosP",1,G6784-MONOMER,dosC,G6784-MONOMER
427,DosC-DosP complex,"dosC"" // ""dosP",1,G6783-MONOMER,dosP,G6783-MONOMER
428,Dps complex; stationary phase nucleoid component that sequesters iron and protects DNA from damage,dps,1,EG11415-MONOMER,dps,EG11415-MONOMER
429,DsbG<sub>oxidized</sub>,dsbG,2,DSBG-MONOMER,dsbG,DSBG-MONOMER
430,DsbG<sub>reduced</sub>,dsbG,2,DSBG-MONOMER,dsbG,DSBG-MONOMER
431,dTDP-4-dehydro-6-deoxy-D-glucose transaminase,wecE,4,RFFTRANS-MONOMER,wecE,RFFTRANS-MONOMER
432,"dTDP-glucose 4,6-dehydratase 1",rfbB,2,DTDPGLUCDEHYDRAT-MONOMER,rfbB,DTDPGLUCDEHYDRAT-MONOMER
433,dTDP-glucose pyrophosphorylase,rfbA,4,DTDPGLUCOSEPP-MONOMER,rfbA,DTDPGLUCOSEPP-MONOMER
434,dTDP-glucose pyrophosphorylase 2,rffH,4,DTDPGLUCOSEPP2-MONOMER,rffH,DTDPGLUCOSEPP2-MONOMER
435,dTDP-L-rhamnose synthetase complex,"rfbD"" // ""rfbC",1,DTDPDEHYRHAMREDUCT-MONOMER,rfbD,DTDPDEHYRHAMREDUCT-MONOMER
436,dTDP-L-rhamnose synthetase complex,"rfbD"" // ""rfbC",1,DTDPDEHYDRHAMEPIM-MONOMER,rfbC,DTDPDEHYDRHAMEPIM-MONOMER
437,DUF892 domain-containing protein YciF,yciF,2,EG11126-MONOMER,yciF,EG11126-MONOMER
438,<I>Eco</I>KI restriction-modification system,"hsdS"" // ""hsdR"" // ""hsdM",1,EG10460-MONOMER,hsdS,EG10460-MONOMER
439,<I>Eco</I>KI restriction-modification system,"hsdS"" // ""hsdR"" // ""hsdM",2,EG10459-MONOMER,hsdR,EG10459-MONOMER
440,<I>Eco</I>KI restriction-modification system,"hsdS"" // ""hsdR"" // ""hsdM",2,EG10458-MONOMER,hsdM,EG10458-MONOMER
441,EF-P-lysine lysyltransferase,epmA,2,EG11211-MONOMER,epmA,EG11211-MONOMER
442,"enamine/imine deaminase, redox regulated chaperone",ridA,3,G7877-MONOMER,ridA,G7877-MONOMER
443,energy transducing Ton complex,"exbD"" // ""exbB"" // ""tonB",1,EG10272-MONOMER,exbD,EG10272-MONOMER
444,energy transducing Ton complex,"exbD"" // ""exbB"" // ""tonB",1,EG10271-MONOMER,exbB,EG10271-MONOMER
445,energy transducing Ton complex,"exbD"" // ""exbB"" // ""tonB",1,EG11012-MONOMER,tonB,EG11012-MONOMER
446,enolase,eno,2,ENOLASE-MONOMER,eno,ENOLASE-MONOMER
447,enoyl-[acyl-carrier-protein] reductase,fabI,4,ENOYL-ACP-REDUCT-NADH-MONOMER,fabI,ENOYL-ACP-REDUCT-NADH-MONOMER
448,Enterobacterial Common Antigen Biosynthesis Protein Complex,"wzzE"" // ""wzyE"" // ""wzxE",1,EG11295-MONOMER,wzzE,EG11295-MONOMER
449,Enterobacterial Common Antigen Biosynthesis Protein Complex,"wzzE"" // ""wzyE"" // ""wzxE",1,FUC4NACTRANS-MONOMER,wzyE,FUC4NACTRANS-MONOMER
450,Enterobacterial Common Antigen Biosynthesis Protein Complex,"wzzE"" // ""wzyE"" // ""wzxE",1,EG11486-MONOMER,wzxE,EG11486-MONOMER
451,erythronate-4-phosphate dehydrogenase,pdxB,2,ERYTHRON4PDEHYDROG-MONOMER,pdxB,ERYTHRON4PDEHYDROG-MONOMER
452,ethanol dehydrogenase / alcohol dehydrogenase,adhP,4,ADHP-MONOMER,adhP,ADHP-MONOMER
453,"ethanolamine ammonia-lyase subunit &alpha;"" // ""ethanolamine ammonia-lyase subunit &beta;","eutC"" // ""eutB",6,EUTC-MONOMER,eutC,EUTC-MONOMER
454,"ethanolamine ammonia-lyase subunit &alpha;"" // ""ethanolamine ammonia-lyase subunit &beta;","eutC"" // ""eutB",6,EUTB-MONOMER,eutB,EUTB-MONOMER
455,evolved &beta;-D-galactosidase,"ebgC"" // ""ebgA",4,EG10253-MONOMER,ebgC,EG10253-MONOMER
456,evolved &beta;-D-galactosidase,"ebgC"" // ""ebgA",4,EG10252-MONOMER,ebgA,EG10252-MONOMER
457,excision nuclease UvrABC,"uvrA"" // ""uvrC"" // ""uvrB",1,EG11061-MONOMER,uvrA,EG11061-MONOMER
458,excision nuclease UvrABC,"uvrA"" // ""uvrC"" // ""uvrB",1,EG11063-MONOMER,uvrC,EG11063-MONOMER
459,excision nuclease UvrABC,"uvrA"" // ""uvrC"" // ""uvrB",1,EG11062-MONOMER,uvrB,EG11062-MONOMER
460,exodeoxyribonuclease V,"recB"" // ""recC"" // ""recD",1,EG10824-MONOMER,recB,EG10824-MONOMER
461,exodeoxyribonuclease V,"recB"" // ""recC"" // ""recD",1,EG10825-MONOMER,recC,EG10825-MONOMER
462,exodeoxyribonuclease V,"recB"" // ""recC"" // ""recD",1,EG10826-MONOMER,recD,EG10826-MONOMER
463,exodeoxyribonuclease VII,"xseB"" // ""xseA",4,EG11098-MONOMER,xseB,EG11098-MONOMER
464,exodeoxyribonuclease VII,"xseB"" // ""xseA",1,EG11072-MONOMER,xseA,EG11072-MONOMER
465,exopolyphosphatase,ppx,2,PPX-MONOMER,ppx,PPX-MONOMER
466,"fatty acid oxidation complex, &alpha; component",fadB,2,FADB-MONOMER,fadB,FADB-MONOMER
467,"fatty acid oxidation complex, &beta; component",fadA,2,FADA-MONOMER,fadA,FADA-MONOMER
468,fatty acyl-CoA synthetase,fadD,2,ACYLCOASYN-MONOMER,fadD,ACYLCOASYN-MONOMER
469,FecAR Signal Transduction System,"fecR"" // ""fecA",1,EG10292-MONOMER,fecR,EG10292-MONOMER
470,FecAR Signal Transduction System,"fecR"" // ""fecA",1,EG10286-MONOMER,fecA,EG10286-MONOMER
471,ferric citrate ABC transporter,"fecB"" // ""fecD"" // ""fecC"" // ""fecE",1,FECB-MONOMER,fecB,FECB-MONOMER
472,ferric citrate ABC transporter,"fecB"" // ""fecD"" // ""fecC"" // ""fecE",1,FECD-MONOMER,fecD,FECD-MONOMER
473,ferric citrate ABC transporter,"fecB"" // ""fecD"" // ""fecC"" // ""fecE",1,FECC-MONOMER,fecC,FECC-MONOMER
474,ferric citrate ABC transporter,"fecB"" // ""fecD"" // ""fecC"" // ""fecE",2,FECE-MONOMER,fecE,FECE-MONOMER
475,ferric enterobactin ABC transporter,"fepB"" // ""fepG"" // ""fepD"" // ""fepC",1,FEPB-MONOMER,fepB,FEPB-MONOMER
476,ferric enterobactin ABC transporter,"fepB"" // ""fepG"" // ""fepD"" // ""fepC",1,FEPG-MONOMER,fepG,FEPG-MONOMER
477,ferric enterobactin ABC transporter,"fepB"" // ""fepG"" // ""fepD"" // ""fepC",1,FEPD-MONOMER,fepD,FEPD-MONOMER
478,ferric enterobactin ABC transporter,"fepB"" // ""fepG"" // ""fepD"" // ""fepC",2,FEPC-MONOMER,fepC,FEPC-MONOMER
479,ferritin iron-storage complex,ftnA,2,EG10921-MONOMER,ftnA,EG10921-MONOMER
480,FicT-FicA complex,"yhfG"" // ""fic",1,EG12374-MONOMER,yhfG,EG12374-MONOMER
481,FicT-FicA complex,"yhfG"" // ""fic",1,EG10307-MONOMER,fic,EG10307-MONOMER
482,fimbrial complex,"fimH"" // ""fimG"" // ""fimF"" // ""fimA",1,EG10315-MONOMER,fimH,EG10315-MONOMER
483,fimbrial complex,"fimH"" // ""fimG"" // ""fimF"" // ""fimA",1,EG10314-MONOMER,fimG,EG10314-MONOMER
484,fimbrial complex,"fimH"" // ""fimG"" // ""fimF"" // ""fimA",1,EG10313-MONOMER,fimF,EG10313-MONOMER
485,fimbrial complex,"fimH"" // ""fimG"" // ""fimF"" // ""fimA",1,EG10308-MONOMER,fimA,EG10308-MONOMER
486,FKBP-type peptidyl-prolyl <i>cis-trans</i> isomerase FklB,fklB,2,G7865-MONOMER,fklB,G7865-MONOMER
487,FKBP-type peptidyl-prolyl <i>cis-trans</I> isomerase SlyD,slyD,2,EG11663-MONOMER,slyD,EG11663-MONOMER
488,flagellar export apparatus,"fliJ"" // ""fliI"" // ""fliH"" // ""fliR"" // ""fliQ"" // ""fliP"" // ""fliO"" // ""flhB"" // ""flhA",1,G378-MONOMER,fliJ,G378-MONOMER
489,flagellar export apparatus,"fliJ"" // ""fliI"" // ""fliH"" // ""fliR"" // ""fliQ"" // ""fliP"" // ""fliO"" // ""flhB"" // ""flhA",6,G377-MONOMER,fliI,G377-MONOMER
490,flagellar export apparatus,"fliJ"" // ""fliI"" // ""fliH"" // ""fliR"" // ""fliQ"" // ""fliP"" // ""fliO"" // ""flhB"" // ""flhA",1,EG11656-MONOMER,fliH,EG11656-MONOMER
491,flagellar export apparatus,"fliJ"" // ""fliI"" // ""fliH"" // ""fliR"" // ""fliQ"" // ""fliP"" // ""fliO"" // ""flhB"" // ""flhA",1,EG11977-MONOMER,fliR,EG11977-MONOMER
492,flagellar export apparatus,"fliJ"" // ""fliI"" // ""fliH"" // ""fliR"" // ""fliQ"" // ""fliP"" // ""fliO"" // ""flhB"" // ""flhA",1,EG11976-MONOMER,fliQ,EG11976-MONOMER
493,flagellar export apparatus,"fliJ"" // ""fliI"" // ""fliH"" // ""fliR"" // ""fliQ"" // ""fliP"" // ""fliO"" // ""flhB"" // ""flhA",1,EG11975-MONOMER,fliP,EG11975-MONOMER
494,flagellar export apparatus,"fliJ"" // ""fliI"" // ""fliH"" // ""fliR"" // ""fliQ"" // ""fliP"" // ""fliO"" // ""flhB"" // ""flhA",1,EG11224-MONOMER,fliO,EG11224-MONOMER
495,flagellar export apparatus,"fliJ"" // ""fliI"" // ""fliH"" // ""fliR"" // ""fliQ"" // ""fliP"" // ""fliO"" // ""flhB"" // ""flhA",1,G7028-MONOMER,flhB,G7028-MONOMER
496,flagellar export apparatus,"fliJ"" // ""fliI"" // ""fliH"" // ""fliR"" // ""fliQ"" // ""fliP"" // ""fliO"" // ""flhB"" // ""flhA",1,G370-MONOMER,flhA,G370-MONOMER
497,flagellar motor switch complex,"fliN"" // ""fliM"" // ""fliG",1,FLIN-FLAGELLAR-C-RING-SWITCH,fliN,FLIN-FLAGELLAR-C-RING-SWITCH
498,flagellar motor switch complex,"fliN"" // ""fliM"" // ""fliG",3,FLIM-FLAGELLAR-C-RING-SWITCH,fliM,FLIM-FLAGELLAR-C-RING-SWITCH
499,flagellar motor switch complex,"fliN"" // ""fliM"" // ""fliG",2,FLIG-FLAGELLAR-SWITCH-PROTEIN,fliG,FLIG-FLAGELLAR-SWITCH-PROTEIN
500,FlhDC DNA-binding transcriptional dual regulator,"flhC"" // ""flhD",2,MONOMER0-2488,flhC,MONOMER0-2488
501,FlhDC DNA-binding transcriptional dual regulator,"flhC"" // ""flhD",4,EG10320-MONOMER,flhD,EG10320-MONOMER
502,FMN dependent NADH:quinone oxidoreductase,azoR,2,G6731-MONOMER,azoR,G6731-MONOMER
503,FMNH<sub>2</sub>-dependent alkanesulfonate monooxygenase,ssuD,4,MONOMER-162,ssuD,MONOMER-162
504,formaldehyde dehydrogenase,frmA,2,ADHC-MONOMER,frmA,ADHC-MONOMER
505,formate channel FocA,focA,5,FOCA-MONOMER,focA,FOCA-MONOMER
506,formate dehydrogenase formation protein,fdhE,2,EG10284-MONOMER,fdhE,EG10284-MONOMER
507,"formate dehydrogenase N, subcomplex","fdnG"" // ""fdnH"" // ""fdnI",1,FDNG-MONOMER,fdnG,FDNG-MONOMER
508,"formate dehydrogenase N, subcomplex","fdnG"" // ""fdnH"" // ""fdnI",1,FDNH-MONOMER,fdnH,FDNH-MONOMER
509,"formate dehydrogenase N, subcomplex","fdnG"" // ""fdnH"" // ""fdnI",1,FDNI-MONOMER,fdnI,FDNI-MONOMER
510,formate dehydrogenase O,"fdoI"" // ""fdoH"" // ""fdoG",1,FDOI-MONOMER,fdoI,FDOI-MONOMER
511,formate dehydrogenase O,"fdoI"" // ""fdoH"" // ""fdoG",1,FDOH-MONOMER,fdoH,FDOH-MONOMER
512,formate dehydrogenase O,"fdoI"" // ""fdoH"" // ""fdoG",1,FDOG-MONOMER,fdoG,FDOG-MONOMER
513,formyl-CoA transferase,frc,2,G7237-MONOMER,frc,G7237-MONOMER
514,formyltetrahydrofolate deformylase,purU,6,FORMYLTHFDEFORMYL-MONOMER,purU,FORMYLTHFDEFORMYL-MONOMER
515,free methionine-(<i>R</i>)-sulfoxide reductase,msrC,2,G7005-MONOMER,msrC,G7005-MONOMER
516,"fructose 1,6-bisphosphatase YggF",yggF,2,EG11245-MONOMER,yggF,EG11245-MONOMER
517,"fructose-1,6-bisphosphatase 1",fbp,4,F16B-MONOMER,fbp,F16B-MONOMER
518,"fructose-1,6-bisphosphatase 2",glpX,2,EG11517-MONOMER,glpX,EG11517-MONOMER
519,fructose-6-phosphate aldolase 1,fsaA,1,G6428-MONOMER,fsaA,G6428-MONOMER
520,fructose-bisphosphate aldolase class I,fbaB,1,FRUCBISALD-CLASSI-MONOMER,fbaB,FRUCBISALD-CLASSI-MONOMER
521,fructose-bisphosphate aldolase class II,fbaA,2,FRUCTBISALD-CLASSII-MONOMER,fbaA,FRUCTBISALD-CLASSII-MONOMER
522,fructoselysine 3-epimerase,frlC,8,G7724-MONOMER,frlC,G7724-MONOMER
523,fructoselysine 6-phosphate deglycase,frlB,1,G7723-MONOMER,frlB,G7723-MONOMER
524,FtsLBQ cell division complex,"ftsL"" // ""ftsB"" // ""ftsQ",1,EG11086-MONOMER,ftsL,EG11086-MONOMER
525,FtsLBQ cell division complex,"ftsL"" // ""ftsB"" // ""ftsQ",1,G7424-MONOMER,ftsB,G7424-MONOMER
526,FtsLBQ cell division complex,"ftsL"" // ""ftsB"" // ""ftsQ",1,EG10342-MONOMER,ftsQ,EG10342-MONOMER
527,fumarase A,fumA,2,FUMA-MONOMER,fumA,FUMA-MONOMER
528,fumarase B,fumB,2,FUMB-MONOMER,fumB,FUMB-MONOMER
529,fumarase C,fumC,4,FUMC-MONOMER,fumC,FUMC-MONOMER
530,"fumarate reductase flavoprotein subunit"" // ""fumarate reductase iron-sulfur protein"" // ""fumarate reductase membrane protein FrdC"" // ""fumarate reductase membrane protein FrdD","frdD"" // ""frdC"" // ""frdB"" // ""frdA",1,FUM-MEMB2,frdD,FUM-MEMB2
531,"fumarate reductase flavoprotein subunit"" // ""fumarate reductase iron-sulfur protein"" // ""fumarate reductase membrane protein FrdC"" // ""fumarate reductase membrane protein FrdD","frdD"" // ""frdC"" // ""frdB"" // ""frdA",1,FUM-MEMB1,frdC,FUM-MEMB1
532,"fumarate reductase flavoprotein subunit"" // ""fumarate reductase iron-sulfur protein"" // ""fumarate reductase membrane protein FrdC"" // ""fumarate reductase membrane protein FrdD","frdD"" // ""frdC"" // ""frdB"" // ""frdA",1,FUM-FE-S,frdB,FUM-FE-S
533,"fumarate reductase flavoprotein subunit"" // ""fumarate reductase iron-sulfur protein"" // ""fumarate reductase membrane protein FrdC"" // ""fumarate reductase membrane protein FrdD","frdD"" // ""frdC"" // ""frdB"" // ""frdA",1,FUM-FLAVO,frdA,FUM-FLAVO
534,fused 4'-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase,dfp,1,EG10004-MONOMER,dfp,EG10004-MONOMER
535,fused aspartate kinase/homoserine dehydrogenase 1,thrA,4,ASPKINIHOMOSERDEHYDROGI-MONOMER,thrA,ASPKINIHOMOSERDEHYDROGI-MONOMER
536,fused aspartate kinase/homoserine dehydrogenase 2,metL,2,ASPKINIIHOMOSERDEHYDROGII-MONOMER,metL,ASPKINIIHOMOSERDEHYDROGII-MONOMER
537,fused chorismate mutase/prephenate dehydratase,pheA,2,CHORISMUTPREPHENDEHYDRAT-MONOMER,pheA,CHORISMUTPREPHENDEHYDRAT-MONOMER
538,fused chorismate mutase/prephenate dehydrogenase,tyrA,2,CHORISMUTPREPHENDEHYDROG-MONOMER,tyrA,CHORISMUTPREPHENDEHYDROG-MONOMER
539,fused diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase,ribD,2,RIBOFLAVINSYNDEAM-MONOMER,ribD,RIBOFLAVINSYNDEAM-MONOMER
540,fused glutathionylspermidine amidase / glutathionylspermidine synthetase,gss,2,GSP-MONOMER,gss,GSP-MONOMER
541,fused heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase,rfaE,2,G7590-MONOMER,rfaE,G7590-MONOMER
542,fused N-acetylglucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyltransferase,glmU,3,NAG1P-URIDYLTRANS-MONOMER,glmU,NAG1P-URIDYLTRANS-MONOMER
543,galactitol-1-phosphate 5-dehydrogenase,gatD,2,GALACTITOLPDEHYD-MONOMER,gatD,GALACTITOLPDEHYD-MONOMER
544,galactitol-specific PTS enzyme II,"gatA"" // ""gatB"" // ""gatC",1,GATA-MONOMER,gatA,GATA-MONOMER
545,galactitol-specific PTS enzyme II,"gatA"" // ""gatB"" // ""gatC",1,GATB-MONOMER,gatB,GATB-MONOMER
546,galactitol-specific PTS enzyme II,"gatA"" // ""gatB"" // ""gatC",2,GATC-MONOMER,gatC,GATC-MONOMER
547,galactofuranose ABC transporter,"ytfQ"" // ""ytfT"" // ""ytfR"" // ""yjfF",1,YTFQ-MONOMER,ytfQ,YTFQ-MONOMER
548,galactofuranose ABC transporter,"ytfQ"" // ""ytfT"" // ""ytfR"" // ""yjfF",1,YTFT-MONOMER,ytfT,YTFT-MONOMER
549,galactofuranose ABC transporter,"ytfQ"" // ""ytfT"" // ""ytfR"" // ""yjfF",1,YTFR-MONOMER,ytfR,YTFR-MONOMER
550,galactofuranose ABC transporter,"ytfQ"" // ""ytfT"" // ""ytfR"" // ""yjfF",1,YJFF-MONOMER,yjfF,YJFF-MONOMER
551,galactosamine-specific PTS enzyme II (cryptic),"agaD"" // ""agaC"" // ""agaB",1,AGAD-MONOMER,agaD,AGAD-MONOMER
552,galactosamine-specific PTS enzyme II (cryptic),"agaD"" // ""agaC"" // ""agaB",1,AGAC-MONOMER,agaC,AGAC-MONOMER
553,galactosamine-specific PTS enzyme II (cryptic),"agaD"" // ""agaC"" // ""agaB",1,AGAB-MONOMER,agaB,AGAB-MONOMER
554,galactose-1-phosphate uridylyltransferase,galT,2,GALACTURIDYLYLTRANS-MONOMER,galT,GALACTURIDYLYLTRANS-MONOMER
555,galactoside <i>O</i>-acetyltransferase,lacA,3,GALACTOACETYLTRAN-MONOMER,lacA,GALACTOACETYLTRAN-MONOMER
556,&gamma;-aminobutyraldehyde dehydrogenase,patD,4,G6755-MONOMER,patD,G6755-MONOMER
557,&gamma;-butyrobetainyl-CoA:carnitine CoA transferase,caiB,2,CARNDEHYDRA-MONOMER,caiB,CARNDEHYDRA-MONOMER
558,&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase,puuD,2,G6645-MONOMER,puuD,G6645-MONOMER
559,GDP-fucose synthase,fcl,2,FCL-MONOMER,fcl,FCL-MONOMER
560,"GDP-mannose 4,6-dehydratase",gmd,2,GDPMANDEHYDRA-MONOMER,gmd,GDPMANDEHYDRA-MONOMER
561,GDP-mannose hydrolase,nudK,2,EG12410-MONOMER,nudK,EG12410-MONOMER
562,GDP-mannose mannosyl hydrolase,gmm,2,GDPMANMANHYDRO-MONOMER,gmm,GDPMANMANHYDRO-MONOMER
563,glucosamine-6-phosphate deaminase,nagB,6,GLUCOSAMINE-6-P-DEAMIN-MONOMER,nagB,GLUCOSAMINE-6-P-DEAMIN-MONOMER
564,glucose-1-phosphatase,agp,2,GLUCOSE-1-PHOSPHAT-MONOMER,agp,GLUCOSE-1-PHOSPHAT-MONOMER
565,glucose-1-phosphate adenylyltransferase,glgC,4,GLUC1PADENYLTRANS-MONOMER,glgC,GLUC1PADENYLTRANS-MONOMER
566,glucose-6-phosphate isomerase,pgi,2,PGLUCISOM,pgi,PGLUCISOM
567,glutamate / aspartate ABC transporter,"gltL"" // ""gltJ"" // ""gltK"" // ""gltI",2,GLTL-MONOMER,gltL,GLTL-MONOMER
568,glutamate / aspartate ABC transporter,"gltL"" // ""gltJ"" // ""gltK"" // ""gltI",1,GLTJ-MONOMER,gltJ,GLTJ-MONOMER
569,glutamate / aspartate ABC transporter,"gltL"" // ""gltJ"" // ""gltK"" // ""gltI",1,GLTK-MONOMER,gltK,GLTK-MONOMER
570,glutamate / aspartate ABC transporter,"gltL"" // ""gltJ"" // ""gltK"" // ""gltI",1,G6359-MONOMER,gltI,G6359-MONOMER
571,glutamate 5-kinase,proB,4,GLUTKIN-MONOMER,proB,GLUTKIN-MONOMER
572,glutamate decarboxylase A,gadA,6,GLUTDECARBOXA-MONOMER,gadA,GLUTDECARBOXA-MONOMER
573,glutamate decarboxylase B,gadB,6,GLUTDECARBOXB-MONOMER,gadB,GLUTDECARBOXB-MONOMER
574,glutamate dehydrogenase,gdhA,6,GDHA-MONOMER,gdhA,GDHA-MONOMER
575,glutamate synthase,"gltB"" // ""gltD",1,GLUSYNLARGE-MONOMER,gltB,GLUSYNLARGE-MONOMER
576,glutamate synthase,"gltB"" // ""gltD",1,GLUSYNSMALL-MONOMER,gltD,GLUSYNSMALL-MONOMER
577,glutamate&mdash;pyruvate aminotransferase AlaA,alaA,2,G7184-MONOMER,alaA,G7184-MONOMER
578,glutamate&mdash;pyruvate aminotransferase AlaC,alaC,2,G7242-MONOMER,alaC,G7242-MONOMER
579,glutamate-1-semialdehyde aminotransferase,hemL,2,GSAAMINOTRANS-MONOMER,hemL,GSAAMINOTRANS-MONOMER
580,glutamate-5-semialdehyde dehydrogenase,proA,4,GLUTSEMIALDEHYDROG-MONOMER,proA,GLUTSEMIALDEHYDROG-MONOMER
581,glutamate-putrescine ligase,puuA,1,G6644-MONOMER,puuA,G6644-MONOMER
582,glutaminase 1,glsA,4,G6261-MONOMER,glsA,G6261-MONOMER
583,glutaminase 2,glsB,2,G6810-MONOMER,glsB,G6810-MONOMER
584,glutamyl-tRNA reductase,hemA,2,GLUTRNAREDUCT-MONOMER,hemA,GLUTRNAREDUCT-MONOMER
585,glutaredoxin 4,grxD,2,EG12181-MONOMER,grxD,EG12181-MONOMER
586,glutathione / L-cysteine ABC exporter CydDC,"cydC"" // ""cydD",1,CYDC-MONOMER,cydC,CYDC-MONOMER
587,glutathione / L-cysteine ABC exporter CydDC,"cydC"" // ""cydD",1,CYDD-MONOMER,cydD,CYDD-MONOMER
588,glutathione ABC transporter,"gsiC"" // ""gsiD"" // ""gsiB"" // ""gsiA",1,YLIC-MONOMER,gsiC,YLIC-MONOMER
589,glutathione ABC transporter,"gsiC"" // ""gsiD"" // ""gsiB"" // ""gsiA",1,YLID-MONOMER,gsiD,YLID-MONOMER
590,glutathione ABC transporter,"gsiC"" // ""gsiD"" // ""gsiB"" // ""gsiA",1,YLIB-MONOMER,gsiB,YLIB-MONOMER
591,glutathione ABC transporter,"gsiC"" // ""gsiD"" // ""gsiB"" // ""gsiA",1,YLIA-MONOMER,gsiA,YLIA-MONOMER
592,glutathione reductase (NADPH),gor,2,GLUTATHIONE-REDUCT-NADPH-MONOMER,gor,GLUTATHIONE-REDUCT-NADPH-MONOMER
593,glutathione <i>S</i>-transferase GstA,gstA,2,GST-MONOMER,gstA,GST-MONOMER
594,glutathione synthetase,gshB,4,GLUTATHIONE-SYN-MONOMER,gshB,GLUTATHIONE-SYN-MONOMER
595,glutathionyl-hydroquinone reductase YqjG,yqjG,2,G7616-MONOMER,yqjG,G7616-MONOMER
596,glyceraldehyde-3-phosphate dehydrogenase A,gapA,4,GAPDH-A-MONOMER,gapA,GAPDH-A-MONOMER
597,glycerol facilitator,glpF,4,GLPF-MONOMER,glpF,GLPF-MONOMER
598,glycerol kinase,glpK,4,GLYCEROL-KIN-MONOMER,glpK,GLYCEROL-KIN-MONOMER
599,"glycerol-3-phosphate dehydrogenase, biosynthetic",gpsA,2,GLYC3PDEHYDROGBIOSYN-MONOMER,gpsA,GLYC3PDEHYDROGBIOSYN-MONOMER
600,"glycerophosphoryl diester phosphodiesterase, periplasmic",glpQ,2,GLYCPDIESTER-PERI-MONOMER,glpQ,GLYCPDIESTER-PERI-MONOMER
601,glycine betaine ABC transporter,"proX"" // ""proW"" // ""proV",1,PROX-MONOMER,proX,PROX-MONOMER
602,glycine betaine ABC transporter,"proX"" // ""proW"" // ""proV",2,PROW-MONOMER,proW,PROW-MONOMER
603,glycine betaine ABC transporter,"proX"" // ""proW"" // ""proV",2,PROV-MONOMER,proV,PROV-MONOMER
604,"glycine betaine ABC transporter, non-osmoregulatory","yehW"" // ""yehX"" // ""yehY"" // ""osmF",1,YEHW-MONOMER,yehW,YEHW-MONOMER
605,"glycine betaine ABC transporter, non-osmoregulatory","yehW"" // ""yehX"" // ""yehY"" // ""osmF",1,YEHX-MONOMER,yehX,YEHX-MONOMER
606,"glycine betaine ABC transporter, non-osmoregulatory","yehW"" // ""yehX"" // ""yehY"" // ""osmF",1,YEHY-MONOMER,yehY,YEHY-MONOMER
607,"glycine betaine ABC transporter, non-osmoregulatory","yehW"" // ""yehX"" // ""yehY"" // ""osmF",1,YEHZ-MONOMER,osmF,YEHZ-MONOMER
608,glycine decarboxylase,gcvP,2,GCVP-MONOMER,gcvP,GCVP-MONOMER
609,glycine&mdash;tRNA ligase,"glyQ"" // ""glyS",2,GLYQ-MONOMER,glyQ,GLYQ-MONOMER
610,glycine&mdash;tRNA ligase,"glyQ"" // ""glyS",2,GLYS-MONOMER,glyS,GLYS-MONOMER
611,glycogen phosphorylase,glgP,2,GLYCOPHOSPHORYL-MONOMER,glgP,GLYCOPHOSPHORYL-MONOMER
612,glycolate dehydrogenase,"glcF"" // ""glcE"" // ""glcD",1,MONOMER0-561,glcF,MONOMER0-561
613,glycolate dehydrogenase,"glcF"" // ""glcE"" // ""glcD",1,G7544-MONOMER,glcE,G7544-MONOMER
614,glycolate dehydrogenase,"glcF"" // ""glcE"" // ""glcD",1,G7545-MONOMER,glcD,G7545-MONOMER
615,glyoxalase I,gloA,2,GLYOXI-MONOMER,gloA,GLYOXI-MONOMER
616,glyoxylate carboligase,gcl,2,GLYOCARBOLIG-MONOMER,gcl,GLYOCARBOLIG-MONOMER
617,glyoxylate reductase,ghrB,2,MONOMER-43,ghrB,MONOMER-43
618,GMP reductase,guaC,4,GMP-REDUCT-MONOMER,guaC,GMP-REDUCT-MONOMER
619,GMP synthetase,guaA,2,GMP-SYN-MONOMER,guaA,GMP-SYN-MONOMER
620,GroEL-GroES chaperonin complex,"groS"" // ""groL",1,EG10600-MONOMER,groS,EG10600-MONOMER
621,GroEL-GroES chaperonin complex,"groS"" // ""groL",1,EG10599-MONOMER,groL,EG10599-MONOMER
622,Grx4-BolA complex,"grxD"" // ""bolA",1,EG12181-MONOMER,grxD,EG12181-MONOMER
