(Proteins Complexes Compounds),Object ID,Gene
NAD(P)H:quinone oxidoreductase,PD01343,wrbA
fatty acyl-CoA synthetase,ACYLCOASYN-CPLX,
oligopeptidase A,EG11441-MONOMER,prlC
DUF1190 domain-containing protein YjfM,G7850-MONOMER,yjfM
molybdenum cofactor insertion chaperone for PaoABC,G6154-MONOMER,paoD
transaldolase B,TRANSALDOLB-CPLX,
D-glucoronate/D-galacturonate isomerase,UXAC-MONOMER,uxaC
ribonuclease HI,EG10860-MONOMER,rnhA
putative DNA-binding transcriptional regulator YciT,G6638-MONOMER,yciT
MntR-Mn<sup>2+</sup> DNA-binding transcriptional dual regulator,CPLX0-7672,
lipoprotein YfgH,G7316-MONOMER,yfgH
Kdo2-lipid A phosphoethanolamine 7''-transferase,EG12267-MONOMER,eptB
L-methionine/D-methionine ABC transporter ATP binding subunit,ABC-MONOMER,metN
sulfate/thiosulfate ABC transporter,ABC-70-CPLX,
DUF493 domain-containing protein YbeD,EG11592-MONOMER,ybeD
DNA-binding transcriptional repressor IclR,PD04099,iclR
hydrogenase 2 small subunit,MONOMER0-145,hybO
twin arginine protein translocation system,TATABCE-CPLX,
periplasmic bacteriophage sensitivity protein DcrB,G7767-MONOMER,dcrB
DUF162 domain-containing lactate utilization protein YkgG,G6178-MONOMER,ykgG
protease 3,EG10786-MONOMER,ptrA
ribokinase,CPLX0-7647,
DUF1145 domain-containing protein YhhL,EG12212-MONOMER,yhhL
putative ABC transporter membrane subunit YbbP,YBBP-MONOMER,ybbP
DNA-binding transcriptional dual regulator MarA,PD00365,marA
vitamin B<sub>12</sub> ABC transporter,ABC-5-CPLX,
DNA polymerase III subunit &psi;,EG11414-MONOMER,holD
murein tripeptide ABC transporter periplasmic binding protein,G6665-MONOMER,mppA
CP4-6 prophage; IS911A transposase fragment,G6132-MONOMER,insO-1
"&alpha; cleavage product of SpeD"" // ""&beta; cleavage product of SpeD",SAMDECARB-CPLX,
<i>sn</i>-glycerol 3-phosphate ABC transporter periplasmic binding protein,UGPB-MONOMER,ugpB
putative 4Fe-4S cluster-containing protein YfhL,G7346-MONOMER,yfhL
"murein L,D-carboxypeptidase",G6621-MONOMER,ldcA
YhaV-PrlF toxin-antitoxin complex,CPLX0-7624,
putative ethanolamine utilization cobalamin adenosyltransferase,G7289-MONOMER,eutT
<i>O</i>-acetylserine sulfhydrylase A,ACSERLYA-MONOMER,cysK
2-isopropylmalate synthase,2-ISOPROPYLMALATESYN-MONOMER,leuA
ribose ABC transporter,ABC-28-CPLX,
"hydrogenase maturation protein, carbamoyltransferase",EG11551-MONOMER,hypF
BOF family protein YdeI,EG11644-MONOMER,ydeI
molybdate ABC transporter membrane subunit,MODB-MONOMER,modB
"pyruvate dehydrogenase"" // ""pyruvate dehydrogenase, E2 subunit"" // ""lipoamide dehydrogenase",PYRUVATEDEH-CPLX,
molecular chaperone Hsp33,G7744-MONOMER,hslO
small toxic polypeptide,MONOMER0-1605,hokA
DNA polymerase II,EG10747-MONOMER,polB
FKBP-type peptidyl-prolyl <i>cis-trans</I> isomerase SlyD,CPLX0-7536,
chaperone modulator CbpM,EG12194-MONOMER,cbpM
DUF4156 domain-containing protein YjeI,G7834-MONOMER,yjeI
DNA-binding transcriptional dual regulator GalS,PD00261,galS
L-glutamine ABC transporter,ABC-12-CPLX,
conserved protein YjiV,EG11386-MONOMER,yjiV
"RhlB, ATP-dependent RNA helicase of the RNA degradosome",EG10844-MONOMER,rhlB
antitoxin YafN,G6116-MONOMER,yafN
nitrogen regulator GlnK,PII2-CPLX,
uridine/cytidine kinase,UDK-MONOMER,udk
putative DNA-binding transcriptional regulator YhjB,EG12246-MONOMER,yhjB
blue light-responsive regulator of BluR,G6603-MONOMER,bluF
DUF892 domain-containing protein YciF,CPLX0-7444,
CPZ-55 prophage; uncharacterized protein YffL,G7273-MONOMER,yffL
DNA-binding transcriptional dual regulator SdiA,PD02198,sdiA
uncharacterized protein YbfC,EG11523-MONOMER,ybfC
transcriptional activator RhaS,PC00086,
METHYLMALONYL-COA-EPIM-MONOMER,METHYLMALONYL-COA-EPIM-MONOMER,
DUF2233 domain-containing protein YigE,EG11462-MONOMER,yigE
putative aminotransferase YhfS,G7728-MONOMER,yhfS
aromatic carboxylic acid efflux pump,CPLX0-4,
putative transcriptional regulator PhnF,EG10715-MONOMER,phnF
putative zinc- or iron-chelating domain-containing protein YkgJ,G6159-MONOMER,ykgJ
chromosome partitioning protein MukF,EG12165-MONOMER,mukF
orotidine-5'-phosphate decarboxylase,OROTPDECARB-CPLX,
DNA-binding transcriptional dual regulator FNR,PD00197,fnr
XASA-MONOMER,XASA-MONOMER,gadC
DNA-binding transcriptional regulator FliZ,EG11356-MONOMER,fliZ
ITPase/XTPase,CPLX0-3948,
conserved protein YaeQ,G6098-MONOMER,yaeQ
glutamate-putrescine ligase,G6644-MONOMER,puuA
NAD-binding component of TrK potassium transporter,TRKA-MONOMER,trkA
sensory histidine kinase NarX,NARX-CPLX,
e14 prophage; protein YmfI,G6587-MONOMER,ymfI
ancillary SecYEG translocon subunit,G7321-MONOMER,yfgM
putative IS186/IS421 transposase,G7255-MONOMER,insL-3
putative monooxygenase YdhR,CPLX0-3923,
tRNA m<sup>6</sup>t<sup>6</sup>A37 methyltransferase,EG11503-MONOMER,trmO
multiple antibiotic resistance protein,EG11599-MONOMER,marB
mannitol-1-phosphate 5-dehydrogenase,MANNPDEHYDROG-MONOMER,mtlD
<i>o</i>-succinylbenzoate&mdash;CoA ligase,MENE-CPLX,
Type II secretion system protein GspK,G7710-MONOMER,gspK
hydrogenase 4 catalytic subunit HyfG,MONOMER0-150,hyfG
outer membrane porin F,EG10671-MONOMER,ompF
fused heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase,CPLX0-3661,
co-chaperone for [Fe-S] cluster biosynthesis,EG12131-MONOMER,hscB
conserved protein YifO,G7797-MONOMER,yifO
murein tripeptide ABC transporter / oligopeptide ABC transporter ATP binding subunit OppF,OPPF-MONOMER,oppF
KHG/KDPG aldolase,KDPGALDOL-4OH2OXOGLUTARALDOL-CPLX,
DNA ligase B,EG11334-MONOMER,ligB
exodeoxyribonuclease V subunit RecB,EG10824-MONOMER,recB
"trimethylamine N-oxide reductase 1, catalytic subunit",TORA-MONOMER,torA
holocytochrome <I>c</I> synthetase,CPLX0-3323,
&beta;-N-acetylhexosaminidase,G6567-MONOMER,nagZ
holo-[acyl carrier protein] synthase 2,EG12221-MONOMER,acpT
acetyl-CoA:oxalate CoA-transferase,G7234-MONOMER,yfdE
histidine&mdash;tRNA ligase,HISS-CPLX,
MALATE-SYNTHASE,MALATE-SYNTHASE,aceB
DNA-binding transcriptional activator CadC,PD00436,cadC
DUF997 domain-containing protein YhdT,G7693-MONOMER,yhdT
ClpP serine protease,CPLX0-3101,
DNA mismatch repair protein MutS,EG10625-MONOMER,mutS
lipopolysaccharide core heptose (II) kinase,EG11425-MONOMER,waaY
prepilin peptidase-dependent protein,EG12107-MONOMER,ppdD
glycogen phosphorylase,GLYCOPHOSPHORYL-CPLX,
NADH:quinone oxidoreductase subunit L,NUOL-MONOMER,nuoL
CP4-6 prophage; putative 2-keto-3-deoxygluconate aldolase,G6140-MONOMER,yagE
RNase G,EG11299-MONOMER,rng
ClpXP protease specificity-enhancing factor,CPLX0-2681,
ThiS adenylyltransferase,THIF-MONOMER,thiF
glucuronide:H<sup>+</sup> symporter,UIDB-MONOMER,uidB
"curlin, minor subunit",G6547-MONOMER,csgB
"D-gluconate kinase, thermostable",GLUCONOKINII-CPLX,
inner membrane protein YfdC,G7217-MONOMER,yfdC
dihydroxyacetone kinase subunit K,G6627-MONOMER,dhaK
branched chain amino acid/phenylalanine ABC transporter periplasmic binding protein,LIVJ-MONOMER,livJ
L-cysteine desulfurase,CPLX0-246,
putative inner membrane protein,G6997-MONOMER,yoaE
esterase YpfH,G7296-MONOMER,ypfH
"putative uncharacterized protein YhcE, N-terminal fragment",G7671-MONOMER,yhcE_1
formyltetrahydrofolate deformylase,FORMYLTHFDEFORMYL-CPLX,
Z-ring positioning protein MinD,EG10597-MONOMER,minD
3-oxoacyl-[acyl-carrier-protein] reductase FabG,3-OXOACYL-ACP-REDUCT-MONOMER,fabG
holocytochrome <I>c</I> synthetase - thiol:disulfide oxidoreductase CcmH,EG12052-MONOMER,ccmH
arylamine <i>N</i>-acetyltransferase,CPLX0-236,
ribonucleoside-diphosphate reductase 1 subunit &beta;,NRDB-MONOMER,nrdB
putative oxidoreductase FixC,EG11564-MONOMER,fixC
EG11266-MONOMER,EG11266-MONOMER,waaH
miniconductance mechanosensitive channel YbdG,CPLX0-7981,
fumarate reductase flavoprotein subunit,FUM-FLAVO,frdA
<i>trans</i> oct-2-enoyl-ACP,MONOMER-4565,acpP
"tagatose-1,6-bisphosphate aldolase 1 subunit KbaY",TAGAALDOL1-MONOMER,kbaY
"fructose-1,6-bisphosphatase 1",F16B-CPLX,
ferrous iron transport system protein EfeO,G6527-MONOMER,efeO
RNA 3'-terminal phosphate cyclase,G7750-MONOMER,rtcA
protein YfcL,G7200-MONOMER,yfcL
DNA-binding transcriptional dual regulator HU,CPLX0-2021,
L-lactate dehydrogenase,L-LACTDEHYDROGFMN-MONOMER,lldD
peptide chain release factor RF1,EG10761-MONOMER,prfA
diguanylate cyclase DgcP,G6980-MONOMER,dgcP
"selenide, water dikinase",CPLX0-7957,
SCP2 domain-containing protein YhbT,G7651-MONOMER,yhbT
actin family protein,EG12200-MONOMER,yegD
DNA ligase,EG10534-MONOMER,ligA
deoxyuridine triphosphatase,DUTP-PYROP-CPLX,
D-alanine&mdash;D-alanine ligase A,DALADALALIGA-MONOMER,ddlA
DNA-binding transcriptional dual regulator CynR,PD00291,cynR
DUF218 domain-containing protein SanA,EG12025-MONOMER,sanA
ribonuclease E inhibitor protein A,CPLX0-1642,
Na<sup>+</sup>:H<sup>+</sup> antiporter NhaA,NHAA-MONOMER,nhaA
DNA-binding transcriptional repressor FabR,EG11394-MONOMER,fabR
"fructose 1,6-bisphosphatase YggF",EG11245-MONOMER,yggF
FtsLBQ cell division complex,CPLX0-7934,
fructose-specific PTS multiphosphoryl transfer protein FruA,FRUA-MONOMER,fruA
antitoxin of the YkfI-YafW toxin-antitoxin pair,G6121-MONOMER,yafW
spermidine synthase,SPERMIDINESYN-MONOMER,speE
bifunctional 3-demethylubiquinone-<i>8</i> 3-<i>O</i>-methyltransferase and 2-octaprenyl-6-hydroxyphenol methylase,DHHB-METHYLTRANSFER-CPLX,
putative exopolysaccharide export protein,G6504-MONOMER,gfcE
UDPACYLGLCNACDEACETYL-MONOMER,UDPACYLGLCNACDEACETYL-MONOMER,lpxC
protein YfbO,G7181-MONOMER,yfbO
MazF toxin of the MazF-MazE toxin-antitoxin system that exhibits ribonuclease activity,CPLX0-1241,
23S rRNA m<sup>5</sup>C1962 methyltransferase,G6501-MONOMER,rlmI
putative c-di-GMP phosphodiesterase PdeG,G6608-MONOMER,pdeG
putative peptidase,G7178-MONOMER,yfbL
iron-sulfur cluster insertion protein IscA,CPLX0-7908,
isopentenyl-diphosphate &Delta;-isomerase,IPPISOM-MONOMER,idi
CPZ-55 prophage; uncharacterized protein YffQ,G7278-MONOMER,yffQ
NADH-dependent methylglyoxal reductase,G6958-MONOMER,ydjG
CTP synthase,CTPSYN-CPLX,
"tagatose-1,6-bisphosphate aldolase 1 subunit KbaZ",G7631-MONOMER,kbaZ
stress-induced protein,EG11533-MONOMER,ychH
regulator of the transcriptional regulator FhlA,EG10474-MONOMER,hycA
arsenite/antimonite:H<sup>+</sup> antiporter,CPLX-7,
cytochrome <i>bd</i>-I ubiquinol oxidase subunit I,CYDA-MONOMER,cydA
D-galactose/methyl-galactoside ABC transporter periplasmic binding protein,MGLB-MONOMER,mglB
putative AAA+ MoxR family ATPase YehL,EG11998-MONOMER,yehL
L-ascorbate-6-phosphate lactonase,CPLX0-7848,
<i>N</i>-acetylmannosamine kinase,NANK-MONOMER,nanK
putative PLP-binding protein YhfX,G7733-MONOMER,yhfX
EF-P-lysine lysyltransferase,EG11211-MONOMER,epmA
redox-responsive ATPase YchF,CPLX0-8240,
flavodoxin/ferredoxin-NADP<sup>+</sup> reductase,FLAVONADPREDUCT-MONOMER,fpr
RPnTP hydrolase,EG10722-MONOMER,phnM
Sec translocon subunit SecE,SECE,secE
fructose-specific PTS enzyme II,CPLX-158,
putative fimbrial-like adhesin protein,G6483-MONOMER,elfG
purine nucleoside phosphoramidase,EG12172-MONOMER,hinT
IPR008135 CinA family protein YfaY,G7162-MONOMER,yfaY
lipoyl synthase,CPLX0-782,
"formate hydrogenlyase complex, iron-sulfur protein HycB",HYCBSMALL-MONOMER,hycB
DNA-binding transcriptional repressor PurR,PD00219,purR
cystine/cysteine/sulfocysteine:cation symporter,G6934-MONOMER,tcyP
carboxylesterase,CPLX0-8214,
modulator protein MzrA,G7610-MONOMER,mzrA
glutamyl-Q tRNA<sup>Asp</sup> synthetase,EG11362-MONOMER,gluQ
antitoxin/DNA-binding transcriptional repressor HipB,EG10442-MONOMER,hipB
"carbamoyl phosphate synthetase subunit &beta;"" // ""carbamoyl phosphate synthetase subunit &alpha;",CARBPSYN-CPLX,
cobinamide/cobalamin adenosyltransferase,COBALADENOSYLTRANS-MONOMER,btuR
"periplasmic chaperone, inhibitor of vertebrate C-type lysozyme",G6104-MONOMER,ivy
putative fimbrial protein FimI,EG11974-MONOMER,fimI
RelB-RelE antitoxin/toxin complex / DNA-binding transcriptional repressor,CPLX0-7791,
mannitol-specific PTS enzyme IICBA component,MTLA-MONOMER,mtlA
tryptophan synthase subunit &beta;,TRYPSYN-BPROTEIN,trpB
protein HtrL,EG11188-MONOMER,htrL
nucleotide exchange factor GrpE,CPLX0-8192,
formate dehydrogenase N subunit &beta;,FDNH-MONOMER,fdnH
e14 prophage; protein YmfM,G6592-MONOMER,ymfM
specificity factor for ClpA-ClpP chaperone-protease complex,G6463-MONOMER,clpS
&alpha; complex,ATOD-CPLX,
putative hydrolase,G7134-MONOMER,yegX
conserved protein YfeS,G7261-MONOMER,yfeS
histidine&mdash;tRNA ligase,HISS-MONOMER,hisS
DNA-binding transcriptional dual regulator MurR,CPLX0-7745,
DUF1870 domain-containing protein YdiL,G6915-MONOMER,ydiL
uncharacterized protein MbiA,EG11509-MONOMER,mbiA
NADPH-dependent ferric chelate reductase,G7593-MONOMER,yqjH
Cas2 dimer,CPLX0-8173,
5-carboxymethylaminomethyluridine-tRNA syntase subunit MnmG,EG10375-MONOMER,mnmG
mannose-specific PTS enzyme IID component,MANZ-MONOMER,manZ
chemotaxis protein methyltransferase,CHER-MONOMER,cheR
chorismate synthase,AROC-CPLX,
putative formate-dependent nitrite reductase complex subunit NrfF,EG11949-MONOMER,nrfF
putative DNA-binding transcriptional regulator YheO,G7715-MONOMER,yheO
protein YpaA,MONOMER0-4395,ypaA
peptidoglycan glycosyltransferase / peptidoglycan DD-transpeptidase MrcA,CPLX0-7717,
putative enzyme with ATPase activity,EG11165-MONOMER,ygiC
DNA topoisomerase IV subunit A,EG10686-MONOMER,parC
"2,3-dihydroxybenzoate-AMP ligase",ENTE-MONOMER,entE
"2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA thioesterase",CPLX0-8127,
riboflavin synthase,RIBOFLAVIN-SYN-MONOMER,ribC
peptidase C92 family protein,EG12138-MONOMER,yaeF
DNA-binding transcriptional regulator RcdA,G6444-MONOMER,rcdA
alkaline phosphatase,ALKAPHOSPHA-CPLX,
inner membrane protein YegH,G7108-MONOMER,yegH
orotidine-5'-phosphate decarboxylase,OROTPDECARB-MONOMER,pyrF
dihydroneopterin triphosphate pyrophosphohydrolase,H2NEOPTERINP3PYROPHOSPHOHYDRO-MONOMER,nudB
uracil phosphoribosyltransferase,URACIL-PRIBOSYLTRANS-CPLX,
putative cytochrome YdhU,G6898-MONOMER,ydhU
lipopolysaccharide core heptosyltransferase III,EG11341-MONOMER,waaQ
antitoxin of the MqsRA toxin-antitoxin system / DNA-binding transcriptional repressor MqsA,G7571-MONOMER,mqsA
nucleoside triphosphate pyrophosphohydrolase,CPLX0-7692,
flagellar filament structural protein,EG10321-MONOMER,fliC
6-phospho-&beta;-glucosidase A,G495-MONOMER,bglA
&gamma;-butyrobetainyl-CoA:carnitine CoA transferase,CARNDEHYDRA-MONOMER,caiB
small heat shock protein IbpB homodimer,CPLX0-8107,
capsule biosynthesis GfcC family protein YjbG,EG11925-MONOMER,yjbG
transaldolase B,TRANSALDOLB-MONOMER,talB
IS1 transposase B,MONOMER0-4345,insB9
citrate lyase [acyl carrier protein] component,ACPSUB-CPLX,
DNA-binding transcriptional activator XapR,EG11146-MONOMER,xapR
inner membrane protein YcfT,G6572-MONOMER,ycfT
putative ABC transporter periplasmic binding protein YbaE,EG13217-MONOMER,ybaE
multidrug efflux pump MdtABC-TolC,TRANS-CPLX-202,
ribose ABC transporter periplasmic binding protein,RBSB-MONOMER,rbsB
DUF2545 domain-containing protein YfdY,G7240-MONOMER,yfdY
ABC transporter ATP-binding protein YbiT,G6423-MONOMER,ybiT
NADPH-dependent aldehyde reductase YqhD,CPLX0-7667,
regulator of length of O-antigen component of lipopolysaccharide chains,G7090-MONOMER,wzzB
"malate dehydrogenase, NAD-requiring",MALIC-NAD-MONOMER,maeA
high-affinity gluconate transporter,GNTT-MONOMER,gntT
molybdopterin-guanine dinucleotide biosynthesis adaptor protein,CPLX0-8044,
anhydro-<i>N</i>-acetylmuramic acid kinase,G6880-MONOMER,anmK
threonylcarbamoyl-AMP synthase,G7698-MONOMER,tsaC
DNA-binding transcriptional dual regulator GlcC,G7546-MONOMER,glcC
"Zn<sup>2+</sup> ABC transporter ATP binding subunit"" // ""Zn<sup>2+</sup> ABC transporter membrane subunit"" // ""Zn<sup>2+</sup> ABC transporter periplasmic binding protein",ABC-63-CPLX,
ferric enterobactin outer membrane transporter,EG10293-MONOMER,fepA
putative transcriptional regulator SfsB,EG10656-MONOMER,sfsB
branched-chain-amino-acid aminotransferase,BRANCHED-CHAINAMINOTRANSFER-MONOMER,ilvE
assimilatory sulfite reductase (NADPH),SULFITE-REDUCT-CPLX,
putative PTS multiphosphoryl transfer protein PtsA,EG11906-MONOMER,ptsA
peptide chain release factor RF3,EG12114-MONOMER,prfC
IS2 insertion element repressor InsA,MONOMER0-4252,insC-4
ketol-acid reductoisomerase (NADP<sup>+</sup>),CPLX0-7643,
DUF892 domain-containing protein YciF,EG11126-MONOMER,yciF
<i>O</i>-succinylhomoserine(thiol)-lyase / <i>O</i>-succinylhomoserine lyase,O-SUCCHOMOSERLYASE-MONOMER,metB
glucan biosynthesis protein D,EG12859-MONOMER,opgD
galactofuranose ABC transporter,ABC-46-CPLX,
Bax1-I family protein YbhL,G6403-MONOMER,ybhL
Qin prophage; protein YdfE,EG11304-MONOMER,ydfE
DNA-binding transcriptional activator Cbl,G7071-MONOMER,cbl
resolvasome,RUVABC-CPLX,
glycerol kinase,GLYCEROL-KIN-MONOMER,glpK
multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1,THIOESTERI-MONOMER,tesA
putative serine protease YdgD,G6856-MONOMER,ydgD
iron-sulfur cluster insertion protein ErpA,CPLX0-7617,
uncharacterized protein YggT,G7528-MONOMER,yggT
protein required for succinyl modification of osmoregulated periplasmic glucans,G6552-MONOMER,opgC
DNA polymerase III subunit &beta;,EG10242-MONOMER,dnaN
putrescine ABC transporter,ABC-25-CPLX,
putative hydroxy/aromatic amino acid permease family transporter YqeG,B2845-MONOMER,yqeG
CPS-53 (KpLE1) prophage; putative tail fiber assembly protein YfdK,G7223-MONOMER,yfdK
tellurite methyltransferase,EG11884-MONOMER,tehB
PutA DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase,PUTA-CPLX,
IS5 transposase and trans-activator,MONOMER0-4236,insH-4
L-serine deaminase III,LSERINEDEAM3-MONOMER,tdcG
proofreading thioesterase in enterobactin biosynthesis,EG11105-MONOMER,entH
outer membrane porin C,CPLX0-7533,
putative HD superfamily phosphohydrolase YedJ,EG12710-MONOMER,yedJ
cell division factor ZapE with ATPase activity,G7680-MONOMER,zapE
glycine betaine ABC transporter ATP binding subunit ProV,PROV-MONOMER,proV
8-amino-7-oxononanoate synthase,7KAPSYN-CPLX,
putative transposase; receptor protein,G6377-MONOMER,ybfL
peptidoglycan glycosyltransferase / peptidoglycan DD-transpeptidase MrcB,EG10605-MONOMER,mrcB
putative diguanylate cyclase DgcQ,G7049-MONOMER,dgcQ
"phosphatidylserine decarboxylase, heterodimer",PHOSPHASERDECARB-DIMER,
imidazole glycerol phosphate synthase subunit HisH,GLUTAMIDOTRANS-MONOMER,hisH
cytochrome b561,CYTOCHROME-B561-MONOMER,cybB
RecA inhibitor RecX,EG12080-MONOMER,recX
Qin prophage; putative transposase,G6836-MONOMER,insD-7
HipAB toxin/antitoxin complex / DNA-binding transcriptional repressor,CPLX0-7425,
folate-binding protein,G7511-MONOMER,ygfZ
nucleoside diphosphate kinase,NUCLEOSIDE-DIP-KIN-MONOMER,ndk
DNA-cytosine methyltransferase,EG10211-MONOMER,dcm
DNA-binding transcriptional dual regulator CysB,PC00040,
putative aromatic acid:H<sup>+</sup> symporter family transporter YdiN,B1691-MONOMER,ydiN
protein YgbA,EG11287-MONOMER,ygbA
putative DNA-binding transcriptional regulator YiiE,EG11854-MONOMER,yiiE
murein tripeptide ABC transporter,CPLX0-3970,
putative bitopic inner membrane protein,MONOMER0-4214,pmrR
fumarase C,FUMC-MONOMER,fumC
SecA translation regulator,EG11087-MONOMER,secM
"ornithine decarboxylase, biosynthetic",ORNDECARBOX-BIO-CPLX,
<i>phe</i> operon leader peptide,EG11271-MONOMER,pheL
NADPH:quinone oxidoreductase MdaB,EG12656-MONOMER,mdaB
taurine ABC transporter periplasmic binding protein,TAUA-MONOMER,tauA
putrescine ABC transporter membrane subunit PotH,POTH-MONOMER,potH
universal stress protein G,CPLX0-3939,
<i>leu</i> operon leader peptide,EG11280-MONOMER,leuL
DUF1266 domain-containing protein YbeR,G6352-MONOMER,ybeR
probable diguanylate cyclase DgcT,G6532-MONOMER,dgcT
putative ABC transporter ATP-binding protein YnjD,YNJD-MONOMER,ynjD
<i>N</i>-acetylglucosamine-6-phosphate deacetylase,NAG6PDEACET-CPLX,
<i>tnaAB</i> operon leader peptide,EG11276-MONOMER,tnaC
putative metal-binding enzyme YecM,G7025-MONOMER,yecM
putative fimbrial protein YfcQ,G7205-MONOMER,yfcQ
Qin prophage; putative tail fiber assembly protein TfaQ,G6820-MONOMER,tfaQ
&alpha;-D-xyloside xylohydrolase,CPLX0-3901,
<i>pheST-ihfA</i> operon leader peptide,EG11272-MONOMER,pheM
putative peptidase,G7491-MONOMER,ygeY
LAUROYLACYLTRAN-MONOMER,LAUROYLACYLTRAN-MONOMER,lpxL
putative inner membrane protein,EG10145-MONOMER,creD
"malate dehydrogenase, NAD-requiring",MALIC-NAD-CPLX,
<i>his</i> operon leader peptide,EG11269-MONOMER,hisL
B0612-MONOMER,B0612-MONOMER,citT
DNA-binding transcriptional regulator DmlR,G6985-MONOMER,dmlR
putative acyltransferase YihG,EG11833-MONOMER,yihG
RNase T,CPLX0-3602,
<i>rho</i> operon leader peptide,EG12428-MONOMER,rhoL
uncharacterized protein YmiA,MONOMER0-2885,ymiA
GTPase ObgE,G7656-MONOMER,obgE
excision nuclease subunit A,EG11061-MONOMER,uvrA
3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate phosphatase KdsC,KDO-8PPHOSPHAT-CPLX,
<i>thr</i> operon leader peptide,EG11277-MONOMER,thrL
PF05433 family protein YcfJ,EG12444-MONOMER,ycfJ
cytochrome <i>c</i><sub>552</sub> nitrite reductase,CYTOCHROMEC552-MONOMER,nrfA
maltose regulon periplasmic protein,EG10559-MONOMER,malM
PHOSPHOGLUCMUT-MONOMER,PHOSPHOGLUCMUT-MONOMER,pgm
ubiquinol&mdash;[NapC cytochrome <i>c</i>] reductase NapGH,CPLX0-3241,
<i>trp</i> operon leader peptide,EG11274-MONOMER,trpL
conserved protein YbdF,G6324-MONOMER,ybdF
dCTP deaminase,DCTP-DEAM-MONOMER,dcd
galactofuranose ABC transporter putative membrane subunit YjtF,YJFF-MONOMER,yjfF
guanylate kinase,GUANYL-KIN-CPLX,
<i>ilvXGMEDA</i> operon leader peptide,EG11270-MONOMER,ilvL
intermembrane transport protein YebT,G7007-MONOMER,yebT
putative DNA-binding transcriptional regulator YeiL,EG12031-MONOMER,yeiL
GDP-mannose mannosyl hydrolase,GDPMANMANHYDRO-MONOMER,gmm
peptidase T,CPLX0-3041,
RyhB-regulated <i>fur</i> leader peptide,MONOMER0-2801,uof
DNA-binding transcriptional repressor LsrR,G6799-MONOMER,lsrR
Ni(2+) ABC transporter periplasmic binding protein,NIKA-MONOMER,nikA
putative peptidoglycan-binding enzyme,G7474-MONOMER,pbl
"glycerol-3-phosphate dehydrogenase, biosynthetic",GLYC3PDEHYDROGBIOSYN-CPLX,
<i>pyrBI</i> operon leader peptide,EG11279-MONOMER,pyrL
6-phospho-&beta;-glucosidase AscB,EG10085-MONOMER,ascB
transglutaminase-like/TPR repeat-containing protein,EG11251-MONOMER,ychA
sensory histidine kinase AtoS,ATOS-MONOMER,atoS
isoaspartyl dipeptidase / asparaginase III,CPLX0-263,
<i>ilvBN</i> operon leader peptide,EG11275-MONOMER,ivbL
DNA damage-inducible protein YebG,EG11808-MONOMER,yebG
putative PTS enzyme IIBC component FrvB,FRVB-MONOMER,frvB
uncharacterized protein YjeV,MONOMER0-2869,yjeV
glutamate dehydrogenase,GDHA-CPLX,
Tol-Pal system protein TolR,EG11011-MONOMER,tolR
succinyl-ACP,SUCC-ACP,acpP
putative invasin YchO,EG12405-MONOMER,ychO
NADPH-dependent nitroreductase NfsA,CPLX0-244,
cryptic phosphonate ABC transporter ATP binding subunit,PHNC-MONOMER,phnC
IS1 protein InsB,G6509-MONOMER,insB-4
DLP12 prophage; putative antitermination protein,G6307-MONOMER,ybcQ
diaminopimelate epimerase,CPLX0-7997,
putative major facilitator superfamily transporter HsrA,YIEO-MONOMER,hsrA
hexitol phosphatase A,G7187-MONOMER,hxpA
GALACTOKIN-MONOMER,GALACTOKIN-MONOMER,galK
formate dehydrogenase O,FORMATEDEHYDROGO-CPLX,
biofilm-dependent modulation protein,G6776-MONOMER,bdm
K<sup>+</sup> transporting P-type ATPase subunit KdpB,KDPB-MONOMER,kdpB
membrane-bound lytic murein transglycosylase A,G7457-MONOMER,mltA
galactitol-specific PTS enzyme II,CPLX0-231,
fused 4'-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase,EG10004-MONOMER,dfp
scaffolding protein that interacts with murein polymerase and murein hydrolase,G6968-MONOMER,mipA
adenylosuccinate lyase,ASL-MONOMER,purB
16S rRNA m<sup>4</sup>C1402 methyltransferase,CPLX0-7977,
CP4-57 prophage; integrase,EG11783-MONOMER,intA
putative fimbrial adhesin YraK,G7640-MONOMER,yraK
PF15596 family protein YibV,MONOMER0-2827,yibV
"ethanolamine ammonia-lyase subunit &alpha;"" // ""ethanolamine ammonia-lyase subunit &beta;",ETHAMLY-CPLX,
"SrmB, DEAD-box RNA helicase",EG10975-MONOMER,srmB
DNA-binding transcriptional dual regulator ArgP,EG10490-MONOMER,argP
DUF72 domain-containing protein YecE,EG12379-MONOMER,yecE
ferric citrate outer membrane transport complex,CPLX0-1943,
putative acyl-CoA synthetase FdrA,G6287-MONOMER,fdrA
cytochrome <i>bo</i><sub>3</sub> ubiquinol oxidase subunit IV,CYOD-MONOMER,cyoD
ABC transporter family protein YhhJ,YHHJ-MONOMER,yhhJ
