bact:MAA_ECOLI	Maltose O-acetyltransferase (EC 2.3.1.79) (Maltose transacetylase)	uniprot:P77791	maa ylaD b0459 JW0448
bact:MAK_ECOLI	Fructokinase (EC 2.7.1.4) (D-fructose kinase) (Manno(fructo)kinase)	uniprot:P23917	mak yajF b0394 JW0385
bact:MALE_ECOLI	Maltose-binding periplasmic protein (MBP) (MMBP) (Maltodextrin-binding protein)	uniprot:P0AEX9	malE b4034 JW3994
bact:MALF_ECOLI	Maltose transport system permease protein MalF	uniprot:P02916	malF b4033 JW3993
bact:MALG_ECOLI	Maltose transport system permease protein MalG	uniprot:P68183	malG b4032 JW3992
bact:MALK_ECOLI	Maltose/maltodextrin import ATP-binding protein MalK (EC 3.6.3.19)	uniprot:P68187	malK b4035 JW3995
bact:MALQ_ECOLI	4-alpha-glucanotransferase (EC 2.4.1.25) (Amylomaltase) (Disproportionating enzyme) (D-enzyme)	uniprot:P15977	malQ malA b3416 JW3379
bact:MALY_ECOLI	Protein MalY [Includes: Cystathionine beta-lyase MalY (CBL) (EC 4.4.1.8) (Beta-cystathionase) (Cysteine lyase); Maltose regulon modulator]	uniprot:P23256	malY b1622 JW1614
bact:MALZ_ECOLI	Maltodextrin glucosidase (EC 3.2.1.20) (Alpha-glucosidase)	uniprot:P21517	malZ b0403 JW0393
bact:MANA_ECOLI	Mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI)	uniprot:P00946	manA pmi b1613 JW1605
bact:MANB_ECOLI	Phosphomannomutase (PMM) (EC 5.4.2.8)	uniprot:P24175	manB cpsG rfbL b2048 JW2033
bact:MANC_ECOLI	Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13) (GDP-mannose pyrophosphorylase) (GMP) (GMPP)	uniprot:P24174	manC cpsB rfbM b2049 JW2034
bact:MAO1_ECOLI	NAD-dependent malic enzyme (NAD-ME) (EC 1.1.1.38)	uniprot:P26616	maeA sfcA b1479 JW5238
bact:MAO2_ECOLI	NADP-dependent malic enzyme (NADP-ME) (EC 1.1.1.40)	uniprot:P76558	maeB ypfF b2463 JW2447
bact:MASY_ECOLI	Malate synthase A (MSA) (EC 2.3.3.9)	uniprot:P08997	aceB mas b4014 JW3974
bact:MASZ_ECOLI	Malate synthase G (MSG) (EC 2.3.3.9)	uniprot:P37330	glcB glc b2976 JW2943
bact:MAZG_ECOLI	Nucleoside triphosphate pyrophosphohydrolase (NTP-PPase) (EC 3.6.1.8)	uniprot:P0AEY3	mazG b2781 JW2752
bact:MBHL_ECOLI	Hydrogenase-1 large chain (HYD1) (EC 1.12.99.6) (Membrane-bound hydrogenase 1 large subunit) (NiFe hydrogenase)	uniprot:P0ACD8	hyaB b0973 JW0955
bact:MBHM_ECOLI	Hydrogenase-2 large chain (HYD2) (EC 1.12.99.6) (Membrane-bound hydrogenase 2 large subunit) (NiFe hydrogenase)	uniprot:P0ACE0	hybC b2994 JW2962
bact:MBHS_ECOLI	Hydrogenase-1 small chain (HYD1) (EC 1.12.99.6) (Membrane-bound hydrogenase 1 small subunit) (NiFe hydrogenase)	uniprot:P69739	hyaA b0972 JW0954
bact:MBHT_ECOLI	Hydrogenase-2 small chain (HYD2) (EC 1.12.99.6) (Membrane-bound hydrogenase 2 small subunit) (NiFe hydrogenase)	uniprot:P69741	hybO yghV b2997 JW2965
bact:MDAB_ECOLI	Modulator of drug activity B	uniprot:P0AEY5	mdaB mda66 b3028 JW2996
bact:MDFA_ECOLI	Multidrug transporter MdfA (Chloramphenicol resistance pump Cmr)	uniprot:P0AEY8	mdfA cmlA cmr b0842 JW0826
bact:MDH_ECOLI	Malate dehydrogenase (EC 1.1.1.37)	uniprot:P61889	mdh b3236 JW3205
bact:MDTI_ECOLI	Spermidine export protein MdtI	uniprot:P69210	mdtI ydgE b1599 JW1591
bact:MDTJ_ECOLI	Spermidine export protein MdtJ	uniprot:P69212	mdtJ ydgF b1600 JW1592
bact:MELB_ECOLI	Melibiose carrier protein (Melibiose permease) (Melibiose transporter) (Na+ (Li+)/melibiose symporter) (Thiomethylgalactoside permease II)	uniprot:P02921	melB mel-4 b4120 JW4081
bact:MENA_ECOLI	1,4-dihydroxy-2-naphthoate octaprenyltransferase (DHNA-octaprenyltransferase) (EC 2.5.1.74)	uniprot:P32166	menA yiiW b3930 JW3901
bact:MENB_ECOLI	1,4-dihydroxy-2-naphthoyl-CoA synthase (DHNA-CoA synthase) (EC 4.1.3.36)	uniprot:P0ABU0	menB b2262 JW2257
bact:MENC_ECOLI	o-succinylbenzoate synthase (OSB synthase) (OSBS) (EC 4.2.1.113) (4-(2'-carboxyphenyl)-4-oxybutyric acid synthase) (o-succinylbenzoic acid synthase)	uniprot:P29208	menC b2261 JW2256
bact:MEND_ECOLI	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase (SEPHCHC synthase) (EC 2.2.1.9) (Menaquinone biosynthesis protein MenD)	uniprot:P17109	menD b2264 JW5374
bact:MENE_ECOLI	2-succinylbenzoate--CoA ligase (EC 6.2.1.26) (o-succinylbenzoyl-CoA synthetase) (OSB-CoA synthetase)	uniprot:P37353	menE b2260 JW2255
bact:MENF_ECOLI	Isochorismate synthase MenF (EC 5.4.4.2) (Isochorismate hydroxymutase) (Isochorismate mutase)	uniprot:P38051	menF yfbA b2265 JW2260
bact:MENH_ECOLI	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase (SHCHC synthase) (EC 4.2.99.20)	uniprot:P37355	menH yfbB b2263 JW2258
bact:MEPA_ECOLI	Penicillin-insensitive murein endopeptidase (EC 3.4.24.-) (D-alanyl-D-alanine-endopeptidase) (DD-endopeptidase)	uniprot:P0C0T5	mepA b2328 JW2325
bact:META_ECOLI	Homoserine O-succinyltransferase (EC 2.3.1.46) (Homoserine O-transsuccinylase) (HTS)	uniprot:P07623	metA b4013 JW3973
bact:METB_ECOLI	Cystathionine gamma-synthase (CGS) (EC 2.5.1.48) (O-succinylhomoserine (thiol)-lyase)	uniprot:P00935	metB b3939 JW3910
bact:METC_ECOLI	Cystathionine beta-lyase MetC (CBL) (EC 4.4.1.8) (Beta-cystathionase) (Cysteine lyase)	uniprot:P06721	metC b3008 JW2975
bact:METE_ECOLI	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14) (Cobalamin-independent methionine synthase) (Methionine synthase, vitamin-B12 independent isozyme)	uniprot:P25665	metE b3829 JW3805
bact:METF_ECOLI	5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)	uniprot:P0AEZ1	metF b3941 JW3913
bact:METH_ECOLI	Methionine synthase (EC 2.1.1.13) (5-methyltetrahydrofolate--homocysteine methyltransferase) (Methionine synthase, vitamin-B12-dependent) (MS)	uniprot:P13009	metH b4019 JW3979
bact:METI_ECOLI	D-methionine transport system permease protein MetI	uniprot:P31547	metI yaeE b0198 JW0194
bact:METK_ECOLI	S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase)	uniprot:P0A817	metK metX b2942 JW2909
bact:METN_ECOLI	Methionine import ATP-binding protein MetN (EC 3.6.3.-)	uniprot:P30750	metN abc b0199 JW0195
bact:METQ_ECOLI	D-methionine-binding lipoprotein MetQ	uniprot:P28635	metQ yaeC b0197 JW0193
bact:MGLA_ECOLI	Galactose/methyl galactoside import ATP-binding protein MglA (EC 3.6.3.17)	uniprot:P0AAG8	mglA b2149 JW2136
bact:MGLC_ECOLI	Galactoside transport system permease protein MglC	uniprot:P23200	mglC b2148 JW2135
bact:MGSA_ECOLI	Methylglyoxal synthase (MGS) (EC 4.2.3.3)	uniprot:P0A731	mgsA yccG b0963 JW5129
bact:MHPA_ECOLI	3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase (3-HCI hydroxylase) (3-HPP hydroxylase) (EC 1.14.13.127)	uniprot:P77397	mhpA b0347 JW0338
bact:MHPB_ECOLI	2,3-dihydroxyphenylpropionate/2,3-dihydroxicinnamic acid 1,2-dioxygenase (EC 1.13.11.16) (3-carboxyethylcatechol 2,3-dioxygenase)	uniprot:P0ABR9	mhpB b0348 JW0339
bact:MHPC_ECOLI	2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase (EC 3.7.1.14) (2-hydroxy-6-ketonona-2,4-diene-1,9-dioic acid 5,6-hydrolase) (2-hydroxy-6-oxonona-2,4,7-triene-1,9-dioic acid 5,6-hydrolase) (2-hydroxy-6-oxonona-2,4-diene-1,9-dioic acid 5,6-hydrolase)	uniprot:P77044	mhpC b0349 JW0340
bact:MHPD_ECOLI	2-keto-4-pentenoate hydratase (EC 4.2.1.80) (2-hydroxypentadienoic acid hydratase)	uniprot:P77608	mhpD b0350 JW0341
bact:MHPT_ECOLI	3-(3-hydroxy-phenyl)propionate transporter (3HPP transporter) (3-(3-hydroxy-phenyl)propionate:H(+) symporter) (3HPP:H(+) symporter)	uniprot:P77589	mhpT yaiK b0353 JW5046
bact:MLTA_ECOLI	Membrane-bound lytic murein transglycosylase A (EC 4.2.2.n1) (Mlt38) (Murein hydrolase A)	uniprot:P0A935	mltA mlt ygdM b2813 JW2784
bact:MLTB_ECOLI	Membrane-bound lytic murein transglycosylase B (EC 4.2.2.n1) (35 kDa soluble lytic transglycosylase) (Murein hydrolase B) (Slt35)	uniprot:P41052	mltB b2701 JW2671
bact:MLTC_ECOLI	Membrane-bound lytic murein transglycosylase C (EC 4.2.2.n1) (Murein lyase C)	uniprot:P0C066	mltC yggZ b2963 JW5481
bact:MLTF_ECOLI	Membrane-bound lytic murein transglycosylase F (EC 4.2.2.n1) (Murein lyase F)	uniprot:P0AGC5	mltF yfhD b2558 JW2542
bact:MMUM_ECOLI	Homocysteine S-methyltransferase (EC 2.1.1.10) (S-methylmethionine:homocysteine methyltransferase)	uniprot:Q47690	mmuM yagD b0261 JW0253
bact:MMUP_ECOLI	Probable S-methylmethionine permease	uniprot:Q47689	mmuP ykfD b0260 JW5027
bact:MNGA_ECOLI	PTS system 2-O-alpha-mannosyl-D-glycerate-specific EIIABC component (2-O-alpha-mannosyl-D-glycerate-specific phosphotransferase enzyme MngA) (Protein-Npi-phosphohistidine--2-O-alpha-mannosyl-D-glycerate phosphotransferase) [Includes: 2-O-alpha-mannosyl-D-glycerate-specific phosphotransferase enzyme IIA component (EC 2.7.1.195) (PTS system EIIA component); 2-O-alpha-mannosyl-D-glycerate-specific phosphotransferase enzyme IIB component (EC 2.7.1.195) (PTS system EIIB component); 2-O-alpha-mannosyl-D-glycerate-specific permease IIC component (PTS system EIIC component)]	uniprot:P54745	mngA hrsA b0731 JW0720
bact:MNGB_ECOLI	Mannosylglycerate hydrolase (EC 3.2.1.170) (2-O-(6-phospho-mannosyl)-D-glycerate hydrolase) (Alpha-mannosidase mngB)	uniprot:P54746	mngB ybgG b0732 JW0721
bact:MNTH_ECOLI	Divalent metal cation transporter MntH	uniprot:P0A769	mntH yfeP b2392 JW2388
bact:MOAA_ECOLI	GTP 3',8-cyclase (EC 4.1.99.22) (Molybdenum cofactor biosynthesis protein A)	uniprot:P30745	moaA bisA chlA chlA1 narA b0781 JW0764
bact:MOAC_ECOLI	Cyclic pyranopterin monophosphate synthase (EC 4.6.1.17) (Molybdenum cofactor biosynthesis protein C)	uniprot:P0A738	moaC chlA3 b0783 JW0766
bact:MOAD_ECOLI	Molybdopterin synthase sulfur carrier subunit (MPT synthase subunit 1) (Molybdenum cofactor biosynthesis protein D) (Molybdopterin-converting factor small subunit) (Molybdopterin-converting factor subunit 1) (Sulfur carrier protein MoaD)	uniprot:P30748	moaD chlA4 chlM b0784 JW0767
bact:MOAE_ECOLI	Molybdopterin synthase catalytic subunit (EC 2.8.1.12) (MPT synthase subunit 2) (Molybdenum cofactor biosynthesis protein E) (Molybdopterin-converting factor large subunit) (Molybdopterin-converting factor subunit 2)	uniprot:P30749	moaE chlA5 b0785 JW0768
bact:MOBA_ECOLI	Molybdenum cofactor guanylyltransferase (MoCo guanylyltransferase) (EC 2.7.7.77) (GTP:molybdopterin guanylyltransferase) (Mo-MPT guanylyltransferase) (Molybdopterin guanylyltransferase) (Molybdopterin-guanine dinucleotide biosynthesis protein A) (Molybdopterin-guanine dinucleotide synthase) (MGD synthase) (Protein FA)	uniprot:P32173	mobA chlB mob narB b3857 JW3829
bact:MOBB_ECOLI	Molybdopterin-guanine dinucleotide biosynthesis adapter protein (MGD biosynthesis adapter protein) (Molybdenum cofactor biosynthesis adapter protein) (Moco biosynthesis adapter protein) (Molybdopterin-guanine dinucleotide biosynthesis protein B)	uniprot:P32125	mobB yihC b3856 JW5575
bact:MOCA_ECOLI	Molybdenum cofactor cytidylyltransferase (MoCo cytidylyltransferase) (EC 2.7.7.76) (CTP:molybdopterin cytidylyltransferase) (Mo-MPT cytidylyltransferase) (Molybdopterin cytidylyltransferase) (Molybdopterin-cytosine dinucleotide synthase) (MCD synthase)	uniprot:Q46810	mocA ygfJ b2877 JW2845
bact:MODA_ECOLI	Molybdate-binding periplasmic protein	uniprot:P37329	modA b0763 JW0746
bact:MODB_ECOLI	Molybdenum transport system permease protein ModB	uniprot:P0AF01	modB chlJ b0764 JW0747
bact:MODC_ECOLI	Molybdenum import ATP-binding protein ModC (EC 3.6.3.29)	uniprot:P09833	modC chlD narD b0765 JW0748
bact:MOEA_ECOLI	Molybdopterin molybdenumtransferase (MPT Mo-transferase) (EC 2.10.1.1)	uniprot:P12281	moeA bisB chlE narE b0827 JW0811
bact:MOEB_ECOLI	Molybdopterin-synthase adenylyltransferase (EC 2.7.7.80) (MoaD protein adenylase) (Molybdopterin-converting factor subunit 1 adenylase) (Sulfur carrier protein MoaD adenylyltransferase)	uniprot:P12282	moeB chlN b0826 JW0810
bact:MOG_ECOLI	Molybdopterin adenylyltransferase (MPT adenylyltransferase) (EC 2.7.7.75)	uniprot:P0AF03	mog chlG mogA yaaG b0009 JW0008
bact:MPAA_ECOLI	Protein MpaA	uniprot:P0ACV6	mpaA ycjI b1326 JW1319
bact:MPL_ECOLI	UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptandioate ligase (EC 6.3.2.45) (Murein peptide ligase) (UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase)	uniprot:P37773	mpl yjfG b4233 JW4192
bact:MPPA_ECOLI	Periplasmic murein peptide-binding protein	uniprot:P77348	mppA ynaH b1329 JW1322
bact:MQO_ECOLI	Malate:quinone oxidoreductase (EC 1.1.5.4) (MQO) (Malate dehydrogenase [quinone])	uniprot:P33940	mqo yojH b2210 JW2198
bact:MRAY_ECOLI	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13) (UDP-MurNAc-pentapeptide phosphotransferase)	uniprot:P0A6W3	mraY murX b0087 JW0085
bact:MRDA_ECOLI	Peptidoglycan D,D-transpeptidase MrdA (EC 3.4.16.4) (Penicillin-binding protein 2) (PBP-2)	uniprot:P0AD65	mrdA pbpA b0635 JW0630
bact:MSBA_ECOLI	Lipid A export ATP-binding/permease protein MsbA (EC 3.6.3.-)	uniprot:P60752	msbA b0914 JW0897
bact:MSRA_ECOLI	Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase)	uniprot:P0A744	msrA pms b4219 JW4178
bact:MSRB_ECOLI	Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase)	uniprot:P0A746	msrB yeaA b1778 JW1767
bact:MTLD_ECOLI	Mannitol-1-phosphate 5-dehydrogenase (EC 1.1.1.17)	uniprot:P09424	mtlD b3600 JW3574
bact:MTNN_ECOLI	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase (MTA/SAH nucleosidase) (MTAN) (EC 3.2.2.9) (5'-methylthioadenosine nucleosidase) (MTA nucleosidase) (P46) (S-adenosylhomocysteine nucleosidase) (AdoHcy nucleosidase) (SAH nucleosidase) (SRH nucleosidase)	uniprot:P0AF12	mtnN mtn pfs yadA b0159 JW0155
bact:MTOX_ECOLI	N-methyl-L-tryptophan oxidase (MTOX) (EC 1.5.3.-)	uniprot:P40874	solA b1059 JW1046
bact:MTR_ECOLI	Tryptophan-specific transport protein (Tryptophan permease)	uniprot:P0AAD2	mtr b3161 JW3130
bact:MURA_ECOLI	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase) (EPT)	uniprot:P0A749	murA murZ b3189 JW3156
bact:MURB_ECOLI	UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98) (UDP-N-acetylmuramate dehydrogenase)	uniprot:P08373	murB yijB b3972 JW3940
bact:MURC_ECOLI	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase)	uniprot:P17952	murC b0091 JW0089
bact:MURD_ECOLI	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9) (D-glutamic acid-adding enzyme) (UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase)	uniprot:P14900	murD b0088 JW0086
bact:MURE_ECOLI	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)	uniprot:P22188	murE b0085 JW0083
bact:MURF_ECOLI	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10) (D-alanyl-D-alanine-adding enzyme) (UDP-MurNAc-pentapeptide synthetase)	uniprot:P11880	murF mra b0086 JW0084
bact:MURG_ECOLI	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	uniprot:P17443	murG b0090 JW0088
bact:MURI_ECOLI	Glutamate racemase (EC 5.1.1.3)	uniprot:P22634	murI dga glr yijA b3967 JW5550
bact:MURJ_ECOLI	Lipid II flippase MurJ (Peptidoglycan biosynthesis protein MurJ)	uniprot:P0AF16	murJ mviN yceN b1069 JW1056
bact:MURQ_ECOLI	N-acetylmuramic acid 6-phosphate etherase (MurNAc-6-P etherase) (EC 4.2.1.126) (N-acetylmuramic acid 6-phosphate hydrolase) (N-acetylmuramic acid 6-phosphate lyase)	uniprot:P76535	murQ yfeU b2428 JW2421
bact:MUTT_ECOLI	8-oxo-dGTP diphosphatase (8-oxo-dGTPase) (EC 3.6.1.55) (7,8-dihydro-8-oxoguanine-triphosphatase) (Mutator protein MutT) (dGTP pyrophosphohydrolase)	uniprot:P08337	mutT b0099 JW0097
bact:NADA_ECOLI	Quinolinate synthase A (EC 2.5.1.72)	uniprot:P11458	nadA nicA b0750 JW0733
bact:NADB_ECOLI	L-aspartate oxidase (LASPO) (EC 1.4.3.16) (Quinolinate synthase B)	uniprot:P10902	nadB nicB b2574 JW2558
bact:NADC_ECOLI	Nicotinate-nucleotide pyrophosphorylase [carboxylating] (EC 2.4.2.19) (Quinolinate phosphoribosyltransferase [decarboxylating]) (QAPRTase)	uniprot:P30011	nadC b0109 JW0105
bact:NADD_ECOLI	Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18) (Deamido-NAD(+) diphosphorylase) (Deamido-NAD(+) pyrophosphorylase) (Nicotinate mononucleotide adenylyltransferase) (NaMN adenylyltransferase)	uniprot:P0A752	nadD ybeN b0639 JW0634
bact:NADE_ECOLI	NH(3)-dependent NAD(+) synthetase (EC 6.3.1.5) (Nicotinamide adenine dinucleotide synthetase) (NADS) (Nitrogen regulatory protein)	uniprot:P18843	nadE efg ntrL b1740 JW1729
bact:NADK_ECOLI	NAD kinase (EC 2.7.1.23) (ATP-dependent NAD kinase)	uniprot:P0A7B3	nadK yfjB yfjE b2615 JW2596
bact:NADR_ECOLI	Trifunctional NAD biosynthesis/regulator protein NadR [Includes: Transcriptional regulator NadR; Nicotinamide mononucleotide adenylyltransferase (NMN adenylyltransferase) (NMN-AT) (NMNAT) (EC 2.7.7.1) (Nicotinamide ribonucleotide adenylyltransferase) (Nicotinamide-nucleotide adenylyltransferase); Ribosylnicotinamide kinase (RNK) (EC 2.7.1.22) (Nicotinamide riboside kinase) (NRK) (NmR-K)]	uniprot:P27278	nadR nadI b4390 JW5800
bact:NAGA_ECOLI	N-acetylglucosamine-6-phosphate deacetylase (GlcNAc 6-P deacetylase) (EC 3.5.1.25)	uniprot:P0AF18	nagA b0677 JW0663
bact:NAGB_ECOLI	Glucosamine-6-phosphate deaminase (EC 3.5.99.6) (GlcN6P deaminase) (GNPDA) (Glucosamine-6-phosphate isomerase)	uniprot:P0A759	nagB glmD b0678 JW0664
bact:NAGK_ECOLI	N-acetyl-D-glucosamine kinase (EC 2.7.1.59) (GlcNAc kinase)	uniprot:P75959	nagK ycfX b1119 JW1105
bact:NAGZ_ECOLI	Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase)	uniprot:P75949	nagZ ycfO b1107 JW1093
bact:NANA_ECOLI	N-acetylneuraminate lyase (NAL) (Neu5Ac lyase) (EC 4.1.3.3) (N-acetylneuraminate pyruvate-lyase) (N-acetylneuraminic acid aldolase) (NALase) (Sialate lyase) (Sialic acid aldolase) (Sialic acid lyase)	uniprot:P0A6L4	nanA npl b3225 JW3194
bact:NANC_ECOLI	Probable N-acetylneuraminic acid outer membrane channel protein NanC (NanR-regulated channel) (Porin NanC)	uniprot:P69856	nanC yjhA b4311 JW5778
bact:NANE_ECOLI	Putative N-acetylmannosamine-6-phosphate 2-epimerase (EC 5.1.3.9) (ManNAc-6-P epimerase)	uniprot:P0A761	nanE yhcJ b3223 JW3192
bact:NANK_ECOLI	N-acetylmannosamine kinase (EC 2.7.1.60) (ManNAc kinase) (N-acetyl-D-mannosamine kinase)	uniprot:P45425	nanK yhcI b3222 JW5538
bact:NANT_ECOLI	Putative sialic acid transporter (Sialic acid permease)	uniprot:P41036	nanT b3224 JW3193
bact:NAPA_ECOLI	Periplasmic nitrate reductase (EC 1.7.99.4)	uniprot:P33937	napA yojC yojD yojE b2206 JW2194
bact:NAPB_ECOLI	Periplasmic nitrate reductase, electron transfer subunit (Diheme cytochrome c NapB)	uniprot:P0ABL3	napB yejY b2203 JW5367
bact:NAPC_ECOLI	Cytochrome c-type protein NapC	uniprot:P0ABL5	napC yejX b2202 JW2190
bact:NAPG_ECOLI	Ferredoxin-type protein NapG	uniprot:P0AAL3	napG yojA yojB b2205 JW2193
bact:NAPH_ECOLI	Ferredoxin-type protein NapH	uniprot:P33934	napH yejZ b2204 JW2192
bact:NARG_ECOLI	Respiratory nitrate reductase 1 alpha chain (EC 1.7.99.4) (Nitrate reductase A subunit alpha) (Quinol-nitrate oxidoreductase subunit alpha)	uniprot:P09152	narG bisD narC b1224 JW1215
bact:NARH_ECOLI	Respiratory nitrate reductase 1 beta chain (EC 1.7.99.4) (Nitrate reductase A subunit beta) (Quinol-nitrate oxidoreductase subunit beta)	uniprot:P11349	narH b1225 JW1216
bact:NARI_ECOLI	Respiratory nitrate reductase 1 gamma chain (EC 1.7.99.4) (Cytochrome B-NR) (Nitrate reductase A subunit gamma) (Quinol-nitrate oxidoreductase subunit gamma)	uniprot:P11350	narI chlI b1227 JW1218
bact:NARJ_ECOLI	Nitrate reductase molybdenum cofactor assembly chaperone NarJ (Redox enzyme maturation protein NarJ)	uniprot:P0AF26	narJ b1226 JW1217
bact:NARK_ECOLI	Nitrate/nitrite transporter NarK (Nitrite extrusion protein 1) (Nitrite facilitator 1)	uniprot:P10903	narK b1223 JW1214
bact:NARU_ECOLI	Nitrate/nitrite transporter NarU (Nitrite extrusion protein 2) (Nitrite facilitator 2)	uniprot:P37758	narU yddF b1469 JW1464
bact:NARV_ECOLI	Respiratory nitrate reductase 2 gamma chain (EC 1.7.99.4)	uniprot:P0AF32	narV b1465 JW1460
bact:NARW_ECOLI	Probable nitrate reductase molybdenum cofactor assembly chaperone NarW (Redox enzyme maturation protein NarW)	uniprot:P19317	narW b1466 JW1461
bact:NARY_ECOLI	Respiratory nitrate reductase 2 beta chain (EC 1.7.99.4)	uniprot:P19318	narY b1467 JW1462
bact:NARZ_ECOLI	Respiratory nitrate reductase 2 alpha chain (EC 1.7.99.4)	uniprot:P19319	narZ b1468 JW1463
bact:NCPP_ECOLI	Non-canonical purine NTP phosphatase (EC 3.6.1.-) (Inosine triphosphatase) (ITPase) (Non-standard purine NTP phosphatase) (Nucleoside-triphosphate phosphatase) (NTPase) (Xanthosine triphosphatase) (XTPase)	uniprot:P39411	yjjX b4394 JW5801
bact:NDK_ECOLI	Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase)	uniprot:P0A763	ndk b2518 JW2502
bact:NFSB_ECOLI	Oxygen-insensitive NAD(P)H nitroreductase (EC 1.-.-.-) (Dihydropteridine reductase) (EC 1.5.1.34) (FMN-dependent nitroreductase)	uniprot:P38489	nfsB dprA nfnB nfsI ntr b0578 JW0567
bact:NHAA_ECOLI	Na(+)/H(+) antiporter NhaA (Sodium/proton antiporter NhaA)	uniprot:P13738	nhaA ant b0019 JW0018
bact:NHAB_ECOLI	Na(+)/H(+) antiporter NhaB (Sodium/proton antiporter NhaB)	uniprot:P0AFA7	nhaB b1186 JW1175
bact:NHOA_ECOLI	N-hydroxyarylamine O-acetyltransferase (EC 2.3.1.118) (Arylamine N-acetyltransferase) (Arylhydroxamate N,O-acetyltransferase)	uniprot:P77567	nhoA yddI b1463 JW1458
bact:NIFJ_ECOLI	Probable pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-)	uniprot:P52647	ydbK b1378 JW1372
bact:NIKA_ECOLI	Nickel-binding periplasmic protein	uniprot:P33590	nikA b3476 JW3441
bact:NIKB_ECOLI	Nickel transport system permease protein NikB	uniprot:P33591	nikB b3477 JW3442
bact:NIKC_ECOLI	Nickel transport system permease protein NikC	uniprot:P0AFA9	nikC b3478 JW3443
bact:NIKD_ECOLI	Nickel import ATP-binding protein NikD (EC 3.6.3.24)	uniprot:P33593	nikD b3479 JW3444
bact:NIKE_ECOLI	Nickel import ATP-binding protein NikE (EC 3.6.3.24)	uniprot:P33594	nikE b3480 JW3445
bact:NIRB_ECOLI	Nitrite reductase (NADH) large subunit (EC 1.7.1.15)	uniprot:P08201	nirB b3365 JW3328
bact:NIRC_ECOLI	Nitrite transporter NirC	uniprot:P0AC26	nirC b3367 JW3330
bact:NIRD_ECOLI	Nitrite reductase (NADH) small subunit (EC 1.7.1.15)	uniprot:P0A9I8	nirD b3366 JW3329
bact:NORV_ECOLI	Anaerobic nitric oxide reductase flavorubredoxin (FlRd) (FlavoRb)	uniprot:Q46877	norV flrD ygaI ygaJ ygaK b2710 JW2680
bact:NORW_ECOLI	Nitric oxide reductase FlRd-NAD(+) reductase (EC 1.18.1.-) (Flavorubredoxin reductase) (FlRd-reductase) (FlavoRb reductase)	uniprot:P37596	norW flrR ygbD b2711 JW2681
bact:NRDD_ECOLI	Anaerobic ribonucleoside-triphosphate reductase (EC 1.17.4.2)	uniprot:P28903	nrdD b4238 JW4197
